+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                      ;
+------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                  ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; \testRam_GN_0:inst_testRam_GN_0|avalon_st_source_endofpacket_0                                             ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|cast4|Outputi|u0                                             ; 2     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|cast4|Outputi                                                ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|cast4                                                        ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|cast3|Outputi|u0                                             ; 2     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|cast3|Outputi                                                ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|cast3                                                        ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|cast2|Outputi|u0                                             ; 2     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|cast2|Outputi                                                ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|cast2                                                        ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|cast1|Outputi|u0                                             ; 2     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|cast1|Outputi                                                ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|cast1                                                        ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|cast0|Outputi|u0                                             ; 2     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|cast0|Outputi                                                ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|cast0                                                        ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay3sclrgnd                                                ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay3|Delay1i|u0                                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay3|Delay1i                                               ; 6     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay3                                                       ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|pixel_out_0                                                  ; 24    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay4sclrgnd                                                ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay4|Delay1i|u0                                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay4|Delay1i                                               ; 6     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay4                                                       ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|sof_out_0                                                    ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay5sclrgnd                                                ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay5|Delay1i|u0                                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay5|Delay1i                                               ; 6     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay5                                                       ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|dual_port_ramenavcc                                          ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|dual_port_ram|u1|auto_generated|mux3                         ; 49    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|dual_port_ram|u1|auto_generated|decode2                      ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|dual_port_ram|u1|auto_generated                              ; 55    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|dual_port_ram                                                ; 56    ; 0              ; 1            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|sof_in_0                                                     ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|testram_ram_counter_0|col_out_0                              ; 14    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|testram_ram_counter_0|eof_in_0                               ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|testram_ram_counter_0|counter|Counteri|auto_generated|cmpr1  ; 28    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|testram_ram_counter_0|counter|Counteri|auto_generated        ; 4     ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|testram_ram_counter_0|counter                                ; 26    ; 1              ; 22           ; 1              ; 15     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|testram_ram_counter_0|valid_in_0                             ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|testram_ram_counter_0|clock_0                                ; 3     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|testram_ram_counter_0                                        ; 4     ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|eof_in_0                                                     ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|control_0                                                    ; 18    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay1sclrgnd                                                ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay1|Delay1i|u0                                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay1|Delay1i                                               ; 6     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay1                                                       ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|altbus|Outputi|u0                                            ; 19    ; 18             ; 0            ; 18             ; 19     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|altbus|Outputi                                               ; 19    ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|altbus                                                       ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay2sclrgnd                                                ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay2|Delay1i|u0                                            ; 14    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay2|Delay1i                                               ; 19    ; 1              ; 0            ; 1              ; 14     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay2                                                       ; 18    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|logical_bus_operator|LogicalBusOperatori                     ; 18    ; 1              ; 1            ; 1              ; 18     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|logical_bus_operator                                         ; 18    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|altbus2|Outputi|u0                                           ; 19    ; 18             ; 0            ; 18             ; 19     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|altbus2|Outputi                                              ; 19    ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|altbus2                                                      ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|dual_port_ram1enavcc                                         ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|dual_port_ram1|u1|auto_generated|mux3                        ; 49    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|dual_port_ram1|u1|auto_generated|wren_decode_a               ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|dual_port_ram1|u1|auto_generated|rden_decode_b               ; 1     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|dual_port_ram1|u1|auto_generated|decode2                     ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|dual_port_ram1|u1|auto_generated                             ; 55    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|dual_port_ram1                                               ; 56    ; 0              ; 1            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|altbus1|Outputi|u0                                           ; 19    ; 18             ; 0            ; 18             ; 19     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|altbus1|Outputi                                              ; 19    ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|altbus1                                                      ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|testram_ram_counter1_0|col_out_0                             ; 14    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|testram_ram_counter1_0|eof_in_0                              ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|testram_ram_counter1_0|counter|Counteri|auto_generated|cmpr1 ; 28    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|testram_ram_counter1_0|counter|Counteri|auto_generated       ; 4     ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|testram_ram_counter1_0|counter                               ; 26    ; 1              ; 22           ; 1              ; 15     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|testram_ram_counter1_0|valid_in_0                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|testram_ram_counter1_0|clock_0                               ; 3     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|testram_ram_counter1_0                                       ; 4     ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|valid_out_0                                                  ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delaysclrgnd                                                 ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay|Delay1i|u0                                             ; 14    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay|Delay1i                                                ; 19    ; 1              ; 0            ; 1              ; 14     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|delay                                                        ; 18    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|multiplexer2enavcc                                           ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|multiplexer2user_aclrgnd                                     ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|multiplexer2|nto1Multiplexeri|\gc:U0|auto_generated          ; 49    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|multiplexer2|nto1Multiplexeri                                ; 53    ; 0              ; 4            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|multiplexer2                                                 ; 53    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|pixel_in_0                                                   ; 24    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|multiplexer1enavcc                                           ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|multiplexer1user_aclrgnd                                     ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|multiplexer1|nto1Multiplexeri|\gc:U0|auto_generated          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|multiplexer1|nto1Multiplexeri                                ; 7     ; 0              ; 4            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|multiplexer1                                                 ; 7     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|multiplexerenavcc                                            ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|multiplexeruser_aclrgnd                                      ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|multiplexer|nto1Multiplexeri|\gc:U0|auto_generated           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|multiplexer|nto1Multiplexeri                                 ; 7     ; 0              ; 4            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|multiplexer                                                  ; 7     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|eof_out_0                                                    ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|valid_in_0                                                   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0|clock_0                                                      ; 3     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|testram_ram_0                                                              ; 47    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|input_0                                                                    ; 18    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \testRam_GN_0:inst_testRam_GN_0|avalon_st_source_ready_0                                                   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
